,0
2003-09-29,-0.21637714442221134
2003-10-02,-0.21646866547754576
2003-10-06,-0.21653243216483503
2003-10-09,-0.21658539968505527
2003-10-13,-0.2166698716990513
2003-10-16,-0.21664936128021733
2003-10-20,-0.21636056322997815
2003-10-23,-0.21609078947343613
2003-10-27,-0.21606336816677257
2003-10-30,-0.21619423049959557
2003-11-03,-0.21630094846788078
2003-11-06,-0.21631528359433355
2003-11-10,-0.21626286425536642
2003-11-13,-0.21620883829080365
2003-11-17,-0.2161206798951983
2003-11-20,-0.21600831945353935
2003-11-24,-0.21593496296049708
2003-11-27,-0.21596992706940957
2003-12-01,-0.21202683810447667
2003-12-04,-0.20486753450973277
2003-12-08,-0.1937991587930455
2003-12-11,-0.18553673639283524
2003-12-15,-0.17450123894027061
2003-12-18,-0.16626728537126825
2003-12-22,-0.15533952810060356
2003-12-25,-0.14714682748548588
2003-12-29,-0.13622225564145762
2004-01-01,-0.12805723669144808
2004-01-05,-0.1172442502736339
2004-01-08,-0.10915006209511213
2004-01-12,-0.09834585326457476
2004-01-15,-0.09026417491470858
2004-01-19,-0.07950940711227979
2004-01-22,-0.07147503448671481
2004-01-26,-0.06147644290276342
2004-01-29,-0.05959004182259904
2004-02-02,-0.067080319210436
2004-02-05,-0.07505920442266936
2004-02-09,-0.08568581128662044
2004-02-12,-0.09371146983049097
2004-02-16,-0.10448174052972642
2004-02-19,-0.11257628847178965
2004-02-23,-0.12337999682354218
2004-02-26,-0.13172321825633224
2004-03-01,-0.14264139542172033
2004-03-04,0.842590545828369
2004-03-08,4.808369515592936
2004-03-11,6.793580296390316
2004-03-15,4.799005041738219
2004-03-18,1.8041466648397322
2004-03-22,-0.2000088614901769
2004-03-25,-0.20826300717292812
2004-03-29,-0.21494319257190378
2004-04-01,-0.215932623327198
2004-04-05,-0.21603548910365783
2004-04-08,-0.2161020137253294
2004-04-12,-0.21609452100471266
2004-04-15,-0.21606194911474189
2004-04-19,-0.21602924850018787
2004-04-22,-0.21598616575370422
2004-04-26,-0.21597107114336742
2004-04-29,-0.21603454058194527
2004-05-03,-0.21610449210426017
2004-05-06,-0.21606477923977876
2004-05-10,-0.2159999562573076
2004-05-13,-0.2160152935015688
2004-05-17,-0.21604723866623093
2004-05-20,-0.2160373269777308
